fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7
8.2,0.33,0.32,2.8,0.067,4,12,0.99473,3.3,0.76,12.8,7
8.9,0.38,0.4,2.2,0.068,12,28,0.99486,3.27,0.75,12.6,7
11.5,0.54,0.71,4.4,0.124,6,15,0.9984,3.01,0.83,11.8,7
8.5,0.34,0.4,4.7,0.055,3,9,0.99738,3.38,0.66,11.6,7
8.3,0.3,0.49,3.8,0.09,11,24,0.99498,3.27,0.64,12.1,7
7.7,0.915,0.12,2.2,0.143,7,23,0.9964,3.35,0.65,10.2,7
10.7,0.52,0.38,2.6,0.066,29,56,0.99577,3.15,0.79,12.1,7
8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,7
8.1,0.29,0.36,2.2,0.048,35,53,0.995,3.27,1.01,12.4,7
7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7,7
9.1,0.3,0.34,2,0.064,12,25,0.99516,3.26,0.84,11.7,7
9.3,0.33,0.45,1.5,0.057,19,37,0.99498,3.18,0.89,11.1,7
15.6,0.685,0.76,3.7,0.1,6,43,1.0032,2.95,0.68,11.2,7
8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7
8.6,0.22,0.36,1.9,0.064,53,77,0.99604,3.47,0.87,11,7
7.4,0.36,0.34,1.8,0.075,18,38,0.9933,3.38,0.88,13.6,7
9.5,0.56,0.33,2.4,0.089,35,67,0.9972,3.28,0.73,11.8,7
7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7
10.1,0.31,0.35,1.6,0.075,9,28,0.99672,3.24,0.83,11.2,7
8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,7
12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,7
10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,7
7.2,0.38,0.31,2,0.056,15,29,0.99472,3.23,0.76,11.3,8
9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7,7
9.1,0.25,0.34,2,0.071,45,67,0.99769,3.44,0.86,10.2,7
7.3,0.34,0.33,2.5,0.064,21,37,0.9952,3.35,0.77,12.1,7
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7
8.7,0.41,0.41,6.2,0.078,25,42,0.9953,3.24,0.77,12.6,7
6.6,0.52,0.08,2.4,0.07,13,26,0.99358,3.4,0.72,12.5,7
8,0.31,0.45,2.1,0.216,5,16,0.99358,3.15,0.81,12.5,7
7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,8
9.3,0.37,0.44,1.6,0.038,21,42,0.99526,3.24,0.81,10.8,7
7,0.6,0.12,2.2,0.083,13,28,0.9966,3.52,0.62,10.2,7
7.9,0.3,0.68,8.3,0.05,37.5,278,0.99316,3.01,0.51,12.3,7
8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,7
7.9,0.3,0.68,8.3,0.05,37.5,289,0.99316,3.01,0.51,12.3,7
5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,7
9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7
7,0.56,0.17,1.7,0.065,15,24,0.99514,3.44,0.68,10.55,7
7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,7
7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,7
5,0.42,0.24,2,0.06,19,50,0.9917,3.72,0.74,14,8
6.8,0.36,0.32,1.8,0.067,4,8,0.9928,3.36,0.55,12.8,7
11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2,7
7.1,0.66,0,2.4,0.052,6,11,0.99318,3.35,0.66,12.7,7
8.5,0.32,0.42,2.3,0.075,12,19,0.99434,3.14,0.71,11.8,7
8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,7
6.6,0.56,0.14,2.4,0.064,13,29,0.99397,3.42,0.62,11.7,7
6.2,0.39,0.43,2,0.071,14,24,0.99428,3.45,0.87,11.2,7
12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,7
7.2,0.48,0.07,5.5,0.089,10,18,0.99684,3.37,0.68,11.2,7
7.5,0.52,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,7
9.1,0.3,0.41,2,0.068,10,24,0.99523,3.27,0.85,11.7,7
8.8,0.31,0.4,2.8,0.109,7,16,0.99614,3.31,0.79,11.8,7
10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,8
9.6,0.38,0.31,2.5,0.096,16,49,0.9982,3.19,0.7,10,7
10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,7
6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,7
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7
7.9,0.2,0.35,1.7,0.054,7,15,0.99458,3.32,0.8,11.9,7
8.6,0.42,0.39,1.8,0.068,6,12,0.99516,3.35,0.69,11.7,8
7.7,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9,7
11.9,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4,7
8.8,0.24,0.35,1.7,0.055,13,27,0.99394,3.14,0.59,11.3,7
8.9,0.35,0.4,3.6,0.11,12,24,0.99549,3.23,0.7,12,7
10.2,0.29,0.49,2.6,0.059,5,13,0.9976,3.05,0.74,10.5,7
7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,7
9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3,7
9,0.38,0.41,2.4,0.103,6,10,0.99604,3.13,0.58,11.9,7
10.6,0.36,0.57,2.3,0.087,6,20,0.99676,3.14,0.72,11.1,7
7.5,0.27,0.34,2.3,0.05,4,8,0.9951,3.4,0.64,11,7
8.2,0.33,0.39,2.5,0.074,29,48,0.99528,3.32,0.88,12.4,7
9.8,0.5,0.34,2.3,0.094,10,45,0.99864,3.24,0.6,9.7,7
9.6,0.33,0.52,2.2,0.074,13,25,0.99509,3.36,0.76,12.4,7
7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,7
12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,8
